transformation,dataset,model,accuracy
eq,real_lara_cros_vila,sonics_alpha_120s,93.68
eq,real_lara_cros_vila,sonics_beta_120s,98.3
eq,real_lara_cros_vila,sonics_gamma_120s,92.74
eq,real_lara_cros_vila,cnn_lara_dataset,96.89
eq,real_lara_cros_vila,cnn_sonics,99.43
eq,real_lara_cros_vila,svm_lara,99.1
eq,real_lara_cros_vila,rf_lara,96.9
eq,real_lara_cros_vila,knn_lara,95.1
eq,real_lara_cros_vila,deezer,93.67
eq,fake_sonics,sonics_alpha_5s,0.61
eq,fake_sonics,sonics_beta_5s,8.96
eq,fake_sonics,sonics_gamma_5s,6.53
eq,fake_sonics,sonics_alpha_120s,92.67
eq,fake_sonics,sonics_beta_120s,82.17
eq,fake_sonics,sonics_gamma_120s,94.89
eq,fake_sonics,cnn_lara_dataset,0.0
eq,fake_sonics,cnn_sonics,82.84
eq,fake_sonics,svm_lara,15.5
eq,fake_sonics,rf_lara,16.7
eq,fake_sonics,knn_lara,22.1
eq,fake_sonics,deezer,42.5
eq,real_sonics,sonics_alpha_5s,87.77
eq,real_sonics,sonics_beta_5s,93
eq,real_sonics,sonics_gamma_5s,95.8
eq,real_sonics,sonics_alpha_120s,93.55
eq,real_sonics,sonics_beta_120s,98.67
eq,real_sonics,sonics_gamma_120s,91.47
eq,real_sonics,cnn_lara_dataset,98.33
eq,real_sonics,cnn_sonics,99.83
eq,real_sonics,svm_lara,40.6
eq,real_sonics,rf_lara,19.9
eq,real_sonics,knn_lara,21.7
eq,real_sonics,deezer,87.38
reverb,udio_lara_cros_vila,sonics_alpha_5s,4.02
reverb,udio_lara_cros_vila,sonics_beta_5s,10.79
reverb,udio_lara_cros_vila,sonics_gamma_5s,6.98
reverb,udio_lara_cros_vila,sonics_alpha_120s,4.97
reverb,udio_lara_cros_vila,sonics_beta_120s,1.27
reverb,udio_lara_cros_vila,sonics_gamma_120s,3.91
reverb,udio_lara_cros_vila,cnn_lara_dataset,0.21
reverb,udio_lara_cros_vila,cnn_sonics,5.4
reverb,udio_lara_cros_vila,svm_lara,17.1
reverb,udio_lara_cros_vila,rf_lara,70.7
reverb,udio_lara_cros_vila,knn_lara,14.3
reverb,udio_lara_cros_vila,deezer,57.14
reverb,suno_lara_cros_vila,sonics_alpha_5s,23.65
reverb,suno_lara_cros_vila,sonics_beta_5s,22.6
reverb,suno_lara_cros_vila,sonics_gamma_5s,23.8
reverb,suno_lara_cros_vila,sonics_alpha_120s,99.02
reverb,suno_lara_cros_vila,sonics_beta_120s,91.62
reverb,suno_lara_cros_vila,sonics_gamma_120s,98.80
reverb,suno_lara_cros_vila,cnn_lara_dataset,74.02
reverb,suno_lara_cros_vila,cnn_sonics,5.14
reverb,suno_lara_cros_vila,svm_lara,26.1
reverb,suno_lara_cros_vila,rf_lara,22.8
reverb,suno_lara_cros_vila,knn_lara,26.1
reverb,suno_lara_cros_vila,deezer,62.34
reverb,real_lara_cros_vila,sonics_alpha_5s,97.51
reverb,real_lara_cros_vila,sonics_beta_5s,97.7
reverb,real_lara_cros_vila,sonics_gamma_5s,96.17
reverb,real_lara_cros_vila,sonics_alpha_120s,96.36
reverb,real_lara_cros_vila,sonics_beta_120s,99.23
reverb,real_lara_cros_vila,sonics_gamma_120s,98.27
reverb,real_lara_cros_vila,cnn_lara_dataset,96.7
reverb,real_lara_cros_vila,cnn_sonics,94.62
reverb,real_lara_cros_vila,svm_lara,21.6
reverb,real_lara_cros_vila,rf_lara,7.5
reverb,real_lara_cros_vila,knn_lara,17.6
reverb,real_lara_cros_vila,deezer,34.45
reverb,fake_sonics,sonics_alpha_5s,49.95
reverb,fake_sonics,sonics_beta_5s,49.17
reverb,fake_sonics,sonics_gamma_5s,55.51
reverb,fake_sonics,sonics_alpha_120s,92.89
reverb,fake_sonics,sonics_beta_120s,54.73
reverb,fake_sonics,sonics_gamma_120s,72.94
reverb,fake_sonics,cnn_lara_dataset,0.03
reverb,fake_sonics,cnn_sonics,85.05
reverb,fake_sonics,svm_lara,7.2
reverb,fake_sonics,rf_lara,5.4
reverb,fake_sonics,knn_lara,0.8
reverb,fake_sonics,deezer,25.33
reverb,real_sonics,sonics_alpha_5s,96.95
reverb,real_sonics,sonics_beta_5s,97.39
reverb,real_sonics,sonics_gamma_5s,94.40
reverb,real_sonics,sonics_alpha_120s,97.32
reverb,real_sonics,sonics_beta_120s,99.75
reverb,real_sonics,sonics_gamma_120s,98.13
reverb,real_sonics,cnn_lara_dataset,98.09
reverb,real_sonics,cnn_sonics,96.14
reverb,real_sonics,svm_lara,8.2
reverb,real_sonics,rf_lara,0.5
reverb,real_sonics,knn_lara,3.2
reverb,real_sonics,deezer,34.32
white_noise,udio_lara_cros_vila,sonics_alpha_5s,41.07
white_noise,udio_lara_cros_vila,sonics_beta_5s,27.65
white_noise,udio_lara_cros_vila,sonics_gamma_5s,20.26
white_noise,udio_lara_cros_vila,sonics_alpha_120s,28.91
white_noise,udio_lara_cros_vila,sonics_beta_120s,17.5
white_noise,udio_lara_cros_vila,sonics_gamma_120s,30.2
white_noise,udio_lara_cros_vila,cnn_lara_dataset,0.0
white_noise,udio_lara_cros_vila,cnn_sonics,0.0
white_noise,udio_lara_cros_vila,svm_lara,84.9
white_noise,udio_lara_cros_vila,rf_lara,92.6
white_noise,udio_lara_cros_vila,knn_lara,48.0
white_noise,udio_lara_cros_vila,deezer,53.75
white_noise,suno_lara_cros_vila,sonics_alpha_5s,25.7
white_noise,suno_lara_cros_vila,sonics_beta_5s,25.41
white_noise,suno_lara_cros_vila,sonics_gamma_5s,25.2
white_noise,suno_lara_cros_vila,sonics_alpha_120s,99.71
white_noise,suno_lara_cros_vila,sonics_beta_120s,99.29
white_noise,suno_lara_cros_vila,sonics_gamma_120s,99.86
